Id,Income_base_type,Credit_purpose,Insurance_flag,DTI,Sex,Full_age_child_number,Education,Empl_type,Empl_size,Period_at_work,age,Empl_property,Empl_form,Family_status,Max_90_days,Avg_num_delay,If_zalog,Num_account_active_180,Active_to_all_prc,Num_account_active_all,Num_account_closed,Sum_of_paym_months,All_credits,Active_not_cc,Own_closed,Min_mnth_after_loan,Max_mnth_after_loan,Dlq_exist,Ninety_vintage
1140,2НДФЛ,Ремонт,1.0,0.59,женский,1,Высшее/Второе высшее/Ученая степень,специалист,>250,38.0,31.0,Торговля,ООО,женат / замужем,2.0,0.075,0.0,2.0,0.8333333333,5.0,1.0,37.0,6.0,3.0,0.0,0.0,22.0,1.0,0.0
1141,2НДФЛ,Ремонт,0.0,0.33,женский,0,высшее,вспомогательный персонал,>250,6.0,38.0,Государственная служба,,,,,,,,,,,,,,,,,
1142,2НДФЛ,Ремонт,1.0,0.59,женский,0,высшее,специалист,>250,36.0,31.0,Информационные технологии,ЗАО,холост / не замужем,2.0,0.055276381900000005,1.0,0.0,0.7142857143000001,5.0,2.0,188.0,7.0,3.0,0.0,11.0,92.0,1.0,0.0
1143,Форма банка (без печати работодателя),Ремонт,1.0,0.49,мужской,1,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,>=100,,,,,,,,,,,,,,,,,,,,
1144,Форма банка (без печати работодателя),Ремонт,1.0,0.31,мужской,0,среднее-специальное,вспомогательный персонал,>250,85.0,46.0,Другое,ОАО,холост / не замужем,1.0,0.0,1.0,1.0,0.3,3.0,7.0,179.0,10.0,1.0,4.0,3.0,86.0,0.0,0.0
1145,Поступление зарплаты на счет,Ремонт,0.0,0.49,женский,0,высшее,специалист,< 50,29.0,38.0,Другое,ООО,холост / не замужем,2.0,0.0,0.0,1.0,0.6666666667,2.0,1.0,23.0,3.0,1.0,0.0,0.0,65.0,0.0,0.0
1146,Поступление зарплаты на счет,Покупка недвижимости/ строительство,0.0,0.49,мужской,1,среднее,рабочий,>250,28.0,30.0,Другое,ЗАО,женат / замужем,0.0,0.01,1.0,0.0,0.3,3.0,7.0,99.0,10.0,1.0,1.0,7.0,95.0,1.0,0.0
1147,Форма банка (без печати работодателя),Ремонт,1.0,0.36,мужской,0,среднее,рабочий,>=100,,,,,,,,,,,,,,,,,,,,
1148,Форма банка (без печати работодателя),Ремонт,1.0,0.42,мужской,0,среднее-специальное,вспомогательный персонал,>250,14.0,30.0,Производство,,,,,,,,,,,,,,,,,
1149,2НДФЛ,Ремонт,1.0,0.49,женский,0,высшее,менеджер среднего звена,>250,29.0,39.0,Финансы,,,,,,,,,,,,,,,,,
1150,Свободная форма с печатью работодателя,Ремонт,1.0,0.49,женский,0,высшее,менеджер среднего звена,>250,81.0,36.0,Торговля,ООО,женат / замужем,6.0,0.23,1.0,2.0,0.3333333333,6.0,12.0,308.0,18.0,4.0,0.0,4.0,97.0,1.0,0.0
1151,2НДФЛ,Ремонт,1.0,0.38,женский,1,среднее-специальное,вспомогательный персонал,>250,23.0,36.0,Торговля,ООО,разведен / разведена,6.0,0.0394736842,0.0,2.0,0.75,6.0,2.0,73.0,8.0,3.0,0.0,0.0,25.0,1.0,0.0
1152,Поступление зарплаты на счет,Ремонт,1.0,0.38,мужской,2,Высшее/Второе высшее/Ученая степень,специалист,>250,20.0,43.0,Строительство,,,,,,,,,,,,,,,,,
1153,2НДФЛ,Ремонт,1.0,0.21,мужской,1,среднее-специальное,рабочий,>100,,,,,,,,,,,,,,,,,,,,
1154,Свободная форма с печатью работодателя,Ремонт,1.0,0.44,женский,0,высшее,специалист,< 50,43.0,42.0,Государственная служба,,,,,,,,,,,,,,,,,
