Id,Income_base_type,Credit_purpose,Insurance_flag,DTI,Sex,Full_age_child_number,Education,Empl_type,Empl_size,Period_at_work,age,Empl_property,Empl_form,Family_status,Max_90_days,Avg_num_delay,If_zalog,Num_account_active_180,Active_to_all_prc,Num_account_active_all,Num_account_closed,Sum_of_paym_months,All_credits,Active_not_cc,Own_closed,Min_mnth_after_loan,Max_mnth_after_loan,Dlq_exist,Ninety_vintage
8126,Форма банка (без печати работодателя),Отпуск,0.0,0.43,мужской,1,Высшее/Второе высшее/Ученая степень,специалист,>250,25.0,30.0,Информационные технологии,ООО,женат / замужем,4.0,0.0220588235,0.0,0.0,0.25,3.0,9.0,133.0,12.0,1.0,2.0,9.0,87.0,1.0,0.0
8127,Форма банка (без печати работодателя),Ремонт,0.0,0.54,женский,1,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,>250,115.0,39.0,Торговля,ООО,женат / замужем,2.0,0.0087719298,0.0,2.0,0.5,4.0,4.0,113.0,8.0,2.0,3.0,5.0,50.0,1.0,0.0
8128,Форма банка (без печати работодателя),Ремонт,0.0,0.47,женский,0,высшее,специалист,>=50,,,,,,,,,,,,,,,,,,,,
8129,2НДФЛ,Покупка недвижимости/ строительство,1.0,0.31,мужской,2,высшее,менеджер по продажам,< 50,100.0,37.0,Торговля,ООО,женат / замужем,2.0,0.0,1.0,1.0,0.21428571429999999,3.0,11.0,154.0,14.0,3.0,0.0,4.0,90.0,0.0,0.0
8130,Форма банка (без печати работодателя),Ремонт,0.0,0.19,женский,0,высшее,специалист,>250,14.0,25.0,Строительство,,,,,,,,,,,,,,,,,
8131,Форма банка (без печати работодателя),Отпуск,1.0,0.49,мужской,1,высшее,менеджер высшего звена,< 50,59.0,36.0,Торговля,ООО,женат / замужем,4.0,0.0,1.0,0.0,0.5,1.0,1.0,41.0,2.0,1.0,0.0,14.0,66.0,0.0,0.0
8132,2НДФЛ,Покупка земли,1.0,0.49,мужской,1,высшее,торговый представитель,>250,7.0,31.0,Производство,,,,,,,,,,,,,,,,,
8133,2НДФЛ,Ремонт,1.0,0.3,мужской,1,Высшее/Второе высшее/Ученая степень,менеджер высшего звена,< 50,16.0,35.0,Торговля,ООО,женат / замужем,5.0,0.0,0.0,1.0,0.42857142859999997,3.0,4.0,73.0,7.0,2.0,0.0,3.0,81.0,0.0,0.0
8134,Поступление зарплаты на счет,Ремонт,1.0,0.51,мужской,1,высшее,специалист,< 50,82.0,39.0,Информационные технологии,ЗАО,женат / замужем,1.0,0.0081967213,0.0,0.0,0.6666666667,2.0,1.0,121.0,3.0,1.0,0.0,23.0,99.0,1.0,0.0
8135,Поступление зарплаты на счет,Ремонт,1.0,0.4,мужской,0,Высшее/Второе высшее/Ученая степень,специалист,>250,6.0,33.0,Другое,ООО,холост / не замужем,2.0,0.0779220779,1.0,1.0,0.1666666667,1.0,5.0,71.0,6.0,1.0,0.0,1.0,81.0,1.0,0.0
8136,2НДФЛ,Покупка автомобиля,0.0,0.38,женский,0,высшее,менеджер среднего звена,< 50,101.0,51.0,Транспорт,,,,,,,,,,,,,,,,,
8137,2НДФЛ,Обучение,1.0,0.41,мужской,1,высшее,рабочий,>250,55.0,29.0,Производство,,,,,,,,,,,,,,,,,
8138,2НДФЛ,Покупка автомобиля,0.0,0.54,мужской,0,высшее,рабочий,>250,273.0,39.0,Производство,,,,,,,,,,,,,,,,,
8139,Форма банка (без печати работодателя),Ремонт,0.0,0.25,женский,2,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,>250,160.0,38.0,Производство,,,,,,,,,,,,,,,,,
8140,Форма банка (без печати работодателя),Покупка мебели,0.0,0.5,мужской,1,Высшее/Второе высшее/Ученая степень,специалист,>250,13.0,43.0,Финансы,,,,,,,,,,,,,,,,,
8141,Свободная форма с печатью работодателя,Отпуск,0.0,0.13,женский,0,высшее,специалист,>250,47.0,28.0,Информационные технологии,ОАО,холост / не замужем,1.0,0.0816326531,0.0,1.0,0.3333333333,2.0,4.0,45.0,6.0,1.0,0.0,1.0,30.0,1.0,0.0
8142,2НДФЛ,Ремонт,0.0,0.55,мужской,2,высшее,специалист,>250,56.0,37.0,Государственная служба,,,,,,,,,,,,,,,,,
8143,Форма банка (без печати работодателя),Ремонт,0.0,0.45,мужской,0,высшее,менеджер среднего звена,< 50,57.0,33.0,Другое,ООО,холост / не замужем,1.0,0.0074349442000000016,1.0,1.0,0.25,5.0,11.0,267.0,16.0,4.0,4.0,5.0,82.0,1.0,0.0
8144,2НДФЛ,Ремонт,1.0,0.46,мужской,1,высшее,специалист,>250,47.0,31.0,Информационные технологии,ООО,разведен / разведена,2.0,0.0,0.0,0.0,1.0,3.0,0.0,53.0,3.0,2.0,0.0,6.0,41.0,0.0,0.0
8145,2НДФЛ,Ремонт,0.0,0.42,мужской,0,высшее,менеджер среднего звена,>250,34.0,30.0,Торговля,ЗАО,холост / не замужем,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,35.0,35.0,0.0,0.0
8146,2НДФЛ,Ремонт,1.0,0.37,женский,1,высшее,вспомогательный персонал,>250,26.0,42.0,Торговля,ООО,женат / замужем,2.0,0.0454545455,0.0,0.0,0.5714285714,4.0,3.0,42.0,7.0,3.0,0.0,9.0,74.0,1.0,0.0
8147,2НДФЛ,Ремонт,0.0,0.2,мужской,0,высшее,менеджер среднего звена,>250,44.0,47.0,Другое,Государственное предприятие,женат / замужем,1.0,0.11864406779999999,0.0,0.0,0.42857142859999997,3.0,4.0,52.0,7.0,2.0,0.0,5.0,62.0,1.0,0.0
8148,Свободная форма с печатью работодателя,Ремонт,1.0,0.31,мужской,1,высшее,торговый представитель,>250,109.0,34.0,Торговля,ООО,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.0,5.0,53.0,5.0,0.0,0.0,29.0,75.0,0.0,0.0
8149,Форма банка (без печати работодателя),Ремонт,1.0,0.59,женский,0,среднее-специальное,рабочий,>250,9.0,48.0,Транспорт,,,,,,,,,,,,,,,,,
8150,2НДФЛ,Покупка недвижимости/ строительство,1.0,0.45,мужской,0,высшее,менеджер среднего звена,>250,139.0,38.0,Торговля,ООО,холост / не замужем,0.0,0.0071942446,1.0,0.0,0.42857142859999997,3.0,4.0,138.0,7.0,1.0,2.0,12.0,87.0,1.0,0.0
8151,Поступление зарплаты на счет,Ремонт,0.0,0.34,мужской,1,среднее,рабочий,>100,,,,,,,,,,,,,,,,,,,,
8152,Форма банка (без печати работодателя),Ремонт,1.0,0.49,мужской,0,высшее,специалист,>250,43.0,26.0,Торговля,ООО,женат / замужем,3.0,0.0106951872,0.0,1.0,0.4166666667,5.0,7.0,185.0,12.0,3.0,0.0,3.0,48.0,1.0,0.0
8153,Поступление зарплаты на счет,Ремонт,0.0,0.15,мужской,1,высшее,специалист,>250,39.0,38.0,Торговля,ООО,женат / замужем,2.0,0.0202020202,1.0,0.0,0.1666666667,1.0,5.0,97.0,6.0,1.0,0.0,16.0,69.0,1.0,0.0
8154,Форма банка (без печати работодателя),Покупка земли,1.0,0.33,мужской,0,среднее-специальное,вспомогательный персонал,>250,11.0,50.0,Строительство,,,,,,,,,,,,,,,,,
8155,2НДФЛ,Покупка автомобиля,1.0,0.59,мужской,0,среднее-специальное,вспомогательный персонал,>250,37.0,25.0,Другое,ООО,холост / не замужем,1.0,0.0,0.0,0.0,0.2,1.0,4.0,34.0,5.0,1.0,1.0,10.0,25.0,0.0,0.0
8156,Поступление зарплаты на счет,Другое,1.0,0.31,мужской,0,среднее-специальное,рабочий,>250,8.0,26.0,Производство,,,,,,,,,,,,,,,,,
8157,2НДФЛ,Ремонт,1.0,0.26,женский,0,высшее,специалист,>250,105.0,34.0,Другое,ОАО,гражданский брак,0.0,0.0,0.0,1.0,0.4,2.0,3.0,54.0,5.0,1.0,0.0,5.0,76.0,0.0,0.0
8158,2НДФЛ,Ремонт,1.0,0.49,женский,0,высшее,специалист,< 50,9.0,23.0,Торговля,ООО,холост / не замужем,7.0,0.0303030303,1.0,2.0,0.5,5.0,5.0,64.0,10.0,3.0,0.0,3.0,31.0,1.0,0.0
8159,2НДФЛ,Покупка автомобиля,1.0,0.23,мужской,0,высшее,менеджер среднего звена,>250,47.0,28.0,Торговля,ООО,женат / замужем,2.0,0.1744966443,0.0,1.0,0.1333333333,2.0,13.0,123.0,15.0,2.0,0.0,5.0,93.0,1.0,0.0
8160,2НДФЛ,Ремонт,1.0,0.59,женский,1,*n.a.*,специалист,>250,117.0,37.0,Государственная служба,,,,,,,,,,,,,,,,,
8161,2НДФЛ,Покупка автомобиля,0.0,0.43,женский,2,высшее,специалист,>250,9.0,37.0,Транспорт,,,,,,,,,,,,,,,,,
8162,2НДФЛ,Покупка недвижимости/ строительство,0.0,0.23,мужской,0,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,>250,24.0,55.0,Государственная служба,,,,,,,,,,,,,,,,,
8163,Свободная форма с печатью работодателя,Ремонт,1.0,0.21,женский,0,высшее,специалист,>250,17.0,31.0,Другое,ООО,холост / не замужем,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,0.0,8.0,8.0,0.0,0.0
8164,Форма банка (без печати работодателя),Ремонт,1.0,0.14,женский,0,высшее,специалист,>100,,,,,,,,,,,,,,,,,,,,
8165,Форма банка (без печати работодателя),Ремонт,0.0,0.36,мужской,0,высшее,менеджер среднего звена,>100,,,,,,,,,,,,,,,,,,,,
8166,Поступление зарплаты на счет,Ремонт,1.0,0.4,женский,2,высшее,вспомогательный персонал,>250,12.0,35.0,Торговля,ООО,женат / замужем,1.0,0.0634920635,0.0,0.0,0.0,0.0,4.0,59.0,4.0,0.0,0.0,15.0,89.0,1.0,0.0
8167,2НДФЛ,Покупка недвижимости/ строительство,0.0,0.21,мужской,1,высшее,менеджер среднего звена,>250,135.0,50.0,Наука,,,,,,,,,,,,,,,,,
8168,2НДФЛ,Ремонт,1.0,0.36,мужской,0,высшее,специалист,>250,36.0,29.0,Торговля,ЗАО,холост / не замужем,2.0,0.1145833333,0.0,0.0,0.5,1.0,1.0,85.0,2.0,0.0,0.0,18.0,84.0,1.0,1.0
8169,Поступление зарплаты на счет,Покупка недвижимости/ строительство,1.0,0.48,женский,0,высшее,менеджер по продажам,>250,19.0,28.0,Торговля,ООО,женат / замужем,0.0,0.628440367,1.0,0.0,0.2857142857,3.0,4.0,81.0,7.0,1.0,0.0,69.0,89.0,1.0,0.0
8170,2НДФЛ,Покупка недвижимости/ строительство,0.0,0.58,мужской,2,высшее,менеджер среднего звена,>250,37.0,32.0,Производство,,,,,,,,,,,,,,,,,
8171,2НДФЛ,Покупка недвижимости/ строительство,0.0,0.17,мужской,1,высшее,менеджер среднего звена,>250,36.0,43.0,Торговля,ЗАО,женат / замужем,0.0,0.0,1.0,0.0,0.11111111109999999,1.0,8.0,81.0,9.0,0.0,1.0,9.0,89.0,0.0,0.0
8172,Поступление зарплаты на счет,Покупка автомобиля,1.0,0.28,мужской,0,незаконченное высшее,специалист,>250,6.0,25.0,Торговля,ООО,холост / не замужем,1.0,,,,,,,,,,,,,,
8173,Поступление зарплаты на счет,Ремонт,1.0,0.45,женский,0,высшее,специалист,>250,74.0,28.0,Торговля,ЗАО,холост / не замужем,1.0,0.0,1.0,0.0,1.0,1.0,0.0,17.0,1.0,1.0,0.0,17.0,17.0,0.0,0.0
8174,2НДФЛ,Отпуск,1.0,0.35,мужской,0,высшее,менеджер среднего звена,>250,55.0,28.0,Торговля,ООО,холост / не замужем,2.0,0.0,0.0,0.0,1.0,1.0,0.0,33.0,1.0,0.0,0.0,31.0,31.0,0.0,0.0
8175,2НДФЛ,Покупка автомобиля,1.0,0.59,мужской,0,высшее,менеджер среднего звена,>250,34.0,28.0,Производство,,,,,,,,,,,,,,,,,
8176,2НДФЛ,Покупка бытовой техники,1.0,0.59,мужской,0,высшее,рабочий,>250,86.0,37.0,Государственная служба,,,,,,,,,,,,,,,,,
8177,Поступление зарплаты на счет,Покупка автомобиля,1.0,0.59,женский,1,второе высшее,специалист,>=50,,,,,,,,,,,,,,,,,,,,
8178,Форма банка (без печати работодателя),Покупка автомобиля,0.0,0.36,мужской,0,Высшее/Второе высшее/Ученая степень,специалист,>250,56.0,30.0,Производство,,,,,,,,,,,,,,,,,
8179,Форма банка (без печати работодателя),Ремонт,1.0,0.22,женский,0,*n.a.*,специалист,>250,43.0,24.0,Торговля,ООО,холост / не замужем,0.0,0.0,1.0,0.0,0.5,1.0,1.0,19.0,2.0,1.0,1.0,5.0,17.0,0.0,0.0
8180,Свободная форма с печатью работодателя,Покупка недвижимости/ строительство,1.0,0.58,женский,0,высшее,менеджер высшего звена,< 50,81.0,44.0,Другое,ООО,женат / замужем,1.0,0.0173913043,1.0,0.0,0.0909090909,1.0,10.0,113.0,11.0,0.0,1.0,17.0,84.0,1.0,0.0
8181,2НДФЛ,Ремонт,1.0,0.54,мужской,0,высшее,рабочий,>=50,,,,,,,,,,,,,,,,,,,,
8182,Форма банка (без печати работодателя),Ремонт,1.0,0.47,женский,0,высшее,менеджер среднего звена,>=200,,,,,,,,,,,,,,,,,,,,
8183,Свободная форма с печатью работодателя,Ремонт,1.0,0.49,мужской,0,высшее,специалист,>=150,,,,,,,,,,,,,,,,,,,,
8184,Поступление зарплаты на счет,Покупка автомобиля,1.0,0.45,женский,0,высшее,специалист,>=200,,,,,,,,,,,,,,,,,,,,
8185,2НДФЛ,Ремонт,1.0,0.49,мужской,0,среднее-специальное,вспомогательный персонал,>100,,,,,,,,,,,,,,,,,,,,
8186,Свободная форма с печатью работодателя,Покупка автомобиля,1.0,0.24,мужской,1,высшее,специалист,< 50,56.0,31.0,Строительство,,,,,,,,,,,,,,,,,
8187,2НДФЛ,Покупка недвижимости/ строительство,0.0,0.52,мужской,1,высшее,рабочий,>250,78.0,37.0,Производство,,,,,,,,,,,,,,,,,
8188,Форма банка (без печати работодателя),Ремонт,1.0,0.49,мужской,2,среднее-специальное,рабочий,>=50,,,,,,,,,,,,,,,,,,,,
8189,Свободная форма с печатью работодателя,Ремонт,1.0,0.34,женский,0,высшее,специалист,>=200,,,,,,,,,,,,,,,,,,,,
8190,2НДФЛ,Покупка автомобиля,1.0,0.58,женский,0,высшее,специалист,>=200,,,,,,,,,,,,,,,,,,,,
8191,Свободная форма с печатью работодателя,Покупка автомобиля,0.0,0.25,женский,1,высшее,вспомогательный персонал,>250,21.0,42.0,Торговля,ООО,женат / замужем,0.0,0.0,0.0,2.0,0.6666666667,2.0,1.0,7.0,3.0,2.0,0.0,3.0,89.0,0.0,0.0
8192,Свободная форма с печатью работодателя,Покупка недвижимости/ строительство,0.0,0.36,мужской,0,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,>250,163.0,39.0,Торговля,ООО,женат / замужем,3.0,0.0,1.0,0.0,0.3333333333,2.0,1.0,43.0,3.0,1.0,1.0,11.0,92.0,0.0,0.0
8193,Форма банка (без печати работодателя),Ремонт,1.0,0.33,женский,2,среднее-специальное,рабочий,>250,75.0,41.0,Производство,,,,,,,,,,,,,,,,,
8194,2НДФЛ,Ремонт,0.0,0.42,женский,0,высшее,специалист,>250,26.0,31.0,Финансы,,,,,,,,,,,,,,,,,
8195,Поступление зарплаты на счет,Покупка мебели,0.0,0.45,мужской,0,высшее,специалист,>250,27.0,28.0,Другое,ОАО,женат / замужем,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
8196,2НДФЛ,Покупка автомобиля,0.0,0.47,женский,0,высшее,специалист,>250,46.0,26.0,Финансы,,,,,,,,,,,,,,,,,
8197,Форма банка (без печати работодателя),Покупка автомобиля,1.0,0.54,мужской,3,высшее,специалист,>250,244.0,39.0,Государственная служба,,,,,,,,,,,,,,,,,
8198,Поступление зарплаты на счет,Покупка автомобиля,1.0,0.59,мужской,1,высшее,менеджер среднего звена,< 50,38.0,30.0,Другое,ООО,разведен / разведена,0.0,0.055555555599999994,1.0,1.0,0.5,3.0,1.0,34.0,4.0,2.0,0.0,4.0,20.0,1.0,0.0
8199,2НДФЛ,Ремонт,0.0,0.32,женский,1,высшее,менеджер среднего звена,>=200,,,,,,,,,,,,,,,,,,,,
8200,2НДФЛ,Ремонт,0.0,0.42,мужской,0,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,>250,170.0,42.0,Производство,,,,,,,,,,,,,,,,,
8201,2НДФЛ,Ремонт,0.0,0.41,мужской,0,высшее,специалист,>250,6.0,29.0,Финансы,,,,,,,,,,,,,,,,,
8202,Форма банка (без печати работодателя),Ремонт,0.0,0.52,мужской,1,высшее,менеджер среднего звена,>=150,,,,,,,,,,,,,,,,,,,,
8203,Форма банка (без печати работодателя),Ремонт,0.0,0.35,мужской,0,высшее,специалист,>100,,,,,,,,,,,,,,,,,,,,
8204,Поступление зарплаты на счет,Ремонт,0.0,0.29,женский,1,высшее,специалист,>250,79.0,32.0,Информационные технологии,ОАО,женат / замужем,0.0,0.3611111111,0.0,1.0,0.3333333333,1.0,2.0,23.0,3.0,0.0,0.0,3.0,97.0,1.0,0.0
8205,Поступление зарплаты на счет,Ремонт,0.0,0.37,женский,0,высшее,специалист,>250,84.0,33.0,Другое,ОАО,женат / замужем,1.0,0.011363636399999998,0.0,1.0,0.3333333333,2.0,4.0,87.0,6.0,1.0,0.0,5.0,75.0,1.0,0.0
8206,2НДФЛ,Ремонт,1.0,0.29,женский,0,высшее,вспомогательный персонал,>250,6.0,33.0,Другое,ООО,холост / не замужем,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
8207,Форма банка (без печати работодателя),Покупка автомобиля,1.0,0.34,женский,2,среднее-специальное,специалист,>250,33.0,35.0,Торговля,ООО,женат / замужем,1.0,0.0,0.0,0.0,0.3333333333,2.0,4.0,87.0,6.0,0.0,4.0,6.0,69.0,0.0,0.0
8208,Форма банка (без печати работодателя),Покупка недвижимости/ строительство,0.0,0.42,мужской,0,среднее-специальное,рабочий,< 50,51.0,33.0,Наука,,,,,,,,,,,,,,,,,
8209,Поступление зарплаты на счет,Ремонт,1.0,0.33,женский,0,высшее,менеджер среднего звена,>250,59.0,42.0,Торговля,ООО,разведен / разведена,4.0,0.3489932886,0.0,2.0,0.375,3.0,5.0,97.0,8.0,3.0,0.0,4.0,97.0,1.0,0.0
8210,Форма банка (без печати работодателя),Обучение,0.0,0.16,женский,1,высшее,вспомогательный персонал,>250,124.0,30.0,Юридические услуги,Государственное предприятие,гражданский брак,0.0,0.0,0.0,0.0,0.0,0.0,3.0,57.0,3.0,0.0,2.0,14.0,57.0,0.0,0.0
8211,2НДФЛ,Ремонт,0.0,0.58,мужской,0,Высшее/Второе высшее/Ученая степень,специалист,>=50,,,,,,,,,,,,,,,,,,,,
8212,Свободная форма с печатью работодателя,Ремонт,1.0,0.37,мужской,0,высшее,менеджер среднего звена,>100,,,,,,,,,,,,,,,,,,,,
8213,2НДФЛ,Ремонт,1.0,0.42,женский,1,высшее,вспомогательный персонал,>250,179.0,32.0,Торговля,ОАО,гражданский брак,1.0,0.0606060606,0.0,0.0,0.5,1.0,1.0,31.0,2.0,1.0,0.0,27.0,29.0,1.0,0.0
8214,2НДФЛ,Ремонт,1.0,0.37,мужской,2,среднее-специальное,рабочий,>=200,,,,,,,,,,,,,,,,,,,,
8215,Форма банка (без печати работодателя),Ремонт,1.0,0.56,мужской,0,Высшее/Второе высшее/Ученая степень,специалист,>250,111.0,58.0,Другое,Иная форма,женат / замужем,4.0,0.1071428571,1.0,4.0,0.625,5.0,3.0,50.0,8.0,3.0,1.0,0.0,54.0,1.0,0.0
8216,Форма банка (без печати работодателя),Покупка недвижимости/ строительство,0.0,0.56,женский,0,высшее,вспомогательный персонал,>=150,,,,,,,,,,,,,,,,,,,,
8217,2НДФЛ,Покупка мебели,0.0,0.12,мужской,0,высшее,менеджер среднего звена,>250,33.0,36.0,Производство,,,,,,,,,,,,,,,,,
8218,2НДФЛ,Другое,1.0,0.49,женский,0,незаконченное высшее,вспомогательный персонал,>250,14.0,26.0,Торговля,ООО,холост / не замужем,4.0,0.725,0.0,0.0,0.4,2.0,3.0,22.0,5.0,1.0,0.0,8.0,75.0,1.0,1.0
8219,2НДФЛ,Ремонт,0.0,0.47,мужской,1,высшее,менеджер по продажам,>250,58.0,25.0,Транспорт,,,,,,,,,,,,,,,,,
8220,Форма банка (без печати работодателя),Ремонт,0.0,0.2,мужской,0,*n.a.*,специалист,< 50,80.0,43.0,Производство,,,,,,,,,,,,,,,,,
8221,Поступление зарплаты на счет,Покупка автомобиля,0.0,0.54,мужской,0,среднее-специальное,специалист,>250,15.0,24.0,Торговля,ООО,холост / не замужем,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,1.0,11.0,11.0,0.0,0.0
8222,Форма банка (без печати работодателя),Покупка недвижимости/ строительство,0.0,0.52,женский,0,Высшее/Второе высшее/Ученая степень,специалист,>250,182.0,57.0,Производство,,,,,,,,,,,,,,,,,
8223,Поступление зарплаты на счет,Покупка автомобиля,1.0,0.48,мужской,0,среднее-специальное,специалист,>250,41.0,23.0,Торговля,ОАО,холост / не замужем,0.0,0.0,0.0,0.0,1.0,1.0,0.0,26.0,1.0,0.0,0.0,25.0,25.0,0.0,0.0
8224,Поступление зарплаты на счет,Покупка недвижимости/ строительство,0.0,0.38,женский,1,Высшее/Второе высшее/Ученая степень,менеджер по продажам,>250,55.0,45.0,Торговля,ООО,женат / замужем,3.0,0.0569620253,0.0,2.0,0.1818181818,2.0,9.0,149.0,11.0,0.0,3.0,0.0,98.0,1.0,0.0
8225,2НДФЛ,Ремонт,0.0,0.13,мужской,0,высшее,менеджер среднего звена,>250,229.0,36.0,Транспорт,,,,,,,,,,,,,,,,,
8226,2НДФЛ,Ремонт,1.0,0.47,женский,0,высшее,менеджер среднего звена,< 50,17.0,48.0,Торговля,ООО,женат / замужем,1.0,0.0,0.0,0.0,0.6666666667,4.0,2.0,70.0,6.0,3.0,0.0,9.0,65.0,0.0,0.0
8227,2НДФЛ,Ремонт,1.0,0.31,мужской,2,высшее,вспомогательный персонал,>250,106.0,43.0,Производство,,,,,,,,,,,,,,,,,
8228,2НДФЛ,Покупка мебели,1.0,0.23,женский,0,среднее-специальное,рабочий,>250,168.0,45.0,Другое,ОАО,женат / замужем,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,83.0,95.0,0.0,0.0
8229,Форма банка (без печати работодателя),Покупка недвижимости/ строительство,1.0,0.27,мужской,0,высшее,рабочий,>250,235.0,40.0,Транспорт,,,,,,,,,,,,,,,,,
8230,Свободная форма с печатью работодателя,Покупка автомобиля,0.0,0.3,мужской,0,высшее,рабочий,>250,23.0,28.0,Производство,,,,,,,,,,,,,,,,,
8231,2НДФЛ,Ремонт,1.0,0.59,женский,0,среднее-специальное,вспомогательный персонал,>250,18.0,53.0,Торговля,ООО,женат / замужем,2.0,0.0398406375,0.0,1.0,0.4666666667,7.0,8.0,241.0,15.0,4.0,1.0,5.0,72.0,1.0,0.0
8232,2НДФЛ,Покупка недвижимости/ строительство,1.0,0.21,женский,0,высшее,менеджер среднего звена,< 50,44.0,36.0,Торговля,Индивидуальный предприниматель,холост / не замужем,3.0,0.0,1.0,0.0,0.5,5.0,5.0,185.0,10.0,0.0,2.0,4.0,42.0,0.0,0.0
8233,2НДФЛ,Ремонт,1.0,0.52,женский,0,высшее,специалист,>=200,,,,,,,,,,,,,,,,,,,,
8234,Поступление зарплаты на счет,Ремонт,0.0,0.46,мужской,0,высшее,специалист,>250,119.0,32.0,Производство,,,,,,,,,,,,,,,,,
8235,Свободная форма с печатью работодателя,Ремонт,1.0,0.22,мужской,0,высшее,менеджер по продажам,>250,8.0,30.0,Торговля,ООО,холост / не замужем,2.0,0.10638297869999999,0.0,0.0,0.3333333333,3.0,6.0,84.0,9.0,2.0,1.0,3.0,54.0,1.0,1.0
8236,Форма банка (без печати работодателя),Ремонт,0.0,0.54,мужской,0,высшее,специалист,>=200,,,,,,,,,,,,,,,,,,,,
8237,2НДФЛ,Ремонт,1.0,0.59,мужской,0,Высшее/Второе высшее/Ученая степень,специалист,>=50,,,,,,,,,,,,,,,,,,,,
8238,2НДФЛ,Ремонт,1.0,0.59,женский,1,высшее,менеджер среднего звена,>=150,,,,,,,,,,,,,,,,,,,,
8239,Форма банка (без печати работодателя),Ремонт,1.0,0.56,мужской,0,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,< 50,177.0,50.0,Государственная служба,,,,,,,,,,,,,,,,,
8240,Форма банка (без печати работодателя),Покупка недвижимости/ строительство,1.0,0.43,мужской,1,среднее-специальное,рабочий,>250,355.0,53.0,Транспорт,,,,,,,,,,,,,,,,,
8241,2НДФЛ,Ремонт,1.0,0.31,женский,0,высшее,специалист,>250,8.0,25.0,Торговля,ООО,холост / не замужем,1.0,0.2564102564,0.0,0.0,0.3333333333,1.0,2.0,29.0,3.0,0.0,0.0,9.0,43.0,1.0,0.0
8242,Поступление зарплаты на счет,Ремонт,1.0,0.46,мужской,2,высшее,специалист,>250,102.0,40.0,Производство,,,,,,,,,,,,,,,,,
8243,Форма банка (без печати работодателя),Покупка земли,1.0,0.52,женский,0,среднее-специальное,вспомогательный персонал,>250,393.0,51.0,Наука,,,,,,,,,,,,,,,,,
8244,Форма банка (без печати работодателя),Покупка автомобиля,1.0,0.21,мужской,0,высшее,рабочий,>=200,,,,,,,,,,,,,,,,,,,,
8245,Поступление зарплаты на счет,Покупка автомобиля,1.0,0.19,мужской,0,среднее-специальное,рабочий,>250,14.0,23.0,Производство,,,,,,,,,,,,,,,,,
8246,2НДФЛ,Ремонт,0.0,0.14,мужской,2,высшее,специалист,>250,79.0,33.0,Финансы,,,,,,,,,,,,,,,,,
8247,2НДФЛ,Покупка автомобиля,1.0,0.52,женский,0,среднее-специальное,вспомогательный персонал,>=50,,,,,,,,,,,,,,,,,,,,
8248,2НДФЛ,Ремонт,0.0,0.16,мужской,0,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,>250,160.0,36.0,Другое,Государственное предприятие,холост / не замужем,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,17.0,17.0,0.0,0.0
8249,Поступление зарплаты на счет,Ремонт,1.0,0.59,мужской,0,Высшее/Второе высшее/Ученая степень,специалист,>250,17.0,27.0,Торговля,ООО,женат / замужем,2.0,0.0,0.0,1.0,1.0,4.0,0.0,67.0,4.0,3.0,0.0,4.0,25.0,0.0,0.0
8250,Форма банка (без печати работодателя),Ремонт,1.0,0.42,мужской,1,среднее,вспомогательный персонал,>=100,,,,,,,,,,,,,,,,,,,,
8251,Форма банка (без печати работодателя),Ремонт,1.0,0.53,женский,1,высшее,специалист,>=150,,,,,,,,,,,,,,,,,,,,
8252,2НДФЛ,Ремонт,1.0,0.44,женский,0,Высшее/Второе высшее/Ученая степень,рабочий,>250,174.0,41.0,Торговля,ООО,холост / не замужем,1.0,0.0227272727,0.0,0.0,0.4705882353,8.0,9.0,129.0,17.0,4.0,0.0,7.0,86.0,1.0,0.0
8253,2НДФЛ,Покупка недвижимости/ строительство,0.0,0.32,женский,0,высшее,рабочий,>250,160.0,38.0,Другое,ООО,женат / замужем,1.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,2.0,0.0,0.0,15.0,16.0,0.0,0.0
8254,2НДФЛ,Покупка автомобиля,0.0,0.31,женский,0,высшее,специалист,>100,,,,,,,,,,,,,,,,,,,,
